RMD_desc,RMD,JPS_desc,JPS,JPA_desc,JPA,JF,density_t_m3,RDI,youngs_GPa,UCS_MPa,HF,rock_factor_A
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.69,17.25,82.4,214.6,42.92,10.21
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,3.03,25.75,13.5,96.7,4.5,7.215
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,2.36,9.0,45.3,182.3,15.1,6.846
massive,50,<0.1m,10,dip_out_of_face,20,30,2.28,7.0,80.6,227.9,45.58,7.955
massive,50,<0.1m,10,strike_perpendicular,30,40,2.78,19.5,21.8,49.3,7.27,7.006
blocky_jointed,40,0.1m_to_oversize,20,dip_out_of_face,20,40,3.1,27.5,26.8,77.4,8.93,6.986
powdery_friable,10,0.1m_to_oversize,20,dip_into_face,40,60,3.08,27.0,42.5,162.8,14.17,6.67
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,3.18,29.5,74.9,222.7,44.54,6.842
powdery_friable,10,<0.1m,10,dip_into_face,40,50,3.12,28.0,72.6,114.7,22.94,6.656
massive,50,oversize_to_pattern,50,dip_out_of_face,20,70,2.47,11.75,73.0,44.9,8.98,8.444
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.4,10.0,83.5,100.4,20.08,4.805
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,2.86,21.5,41.9,84.1,13.97,4.528
powdery_friable,10,0.1m_to_oversize,20,strike_perpendicular,30,50,2.84,21.0,42.0,245.7,14.0,5.7
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.32,8.0,87.6,61.1,12.22,6.613
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.8,20.0,37.7,200.9,12.57,5.554
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.32,8.0,82.0,63.7,12.74,12.044
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,2.2,5.0,84.0,143.8,28.76,7.426
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.87,21.75,39.1,36.1,13.03,10.487
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.51,12.75,77.8,185.5,37.1,9.591
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,2.87,21.75,36.1,180.4,12.03,11.627
massive,50,<0.1m,10,dip_out_of_face,20,30,2.62,15.5,85.2,175.8,35.16,7.84
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,2.5,12.5,53.8,20.1,4.02,6.991
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,2.99,24.75,58.5,94.1,18.82,7.414
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.41,10.25,47.9,227.3,15.97,8.773
massive,50,<0.1m,10,dip_into_face,40,50,2.28,7.0,51.2,165.6,33.12,8.407
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.87,21.75,28.0,65.8,9.33,5.465
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,3.18,29.5,58.9,196.8,39.36,6.532
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.78,19.5,67.5,108.3,21.66,9.67
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.86,21.5,10.4,192.7,3.47,5.098
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.38,9.5,86.6,139.1,27.82,5.239
powdery_friable,10,oversize_to_pattern,50,dip_out_of_face,20,70,3.12,28.0,19.7,50.7,6.57,6.874
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,3.19,29.75,57.6,238.5,47.7,15.447
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,3.09,27.25,44.1,228.6,14.7,13.317
blocky_jointed,50,<0.1m,10,dip_into_face,40,50,3.06,26.5,46.0,192.9,15.33,8.51
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.68,17.0,29.1,121.2,9.7,8.202
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.47,11.75,35.6,144.2,11.87,6.817
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,2.58,14.5,22.2,69.2,7.4,3.714
blocky_jointed,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.74,18.5,43.3,67.6,14.43,7.976
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,3.15,28.75,11.6,222.6,3.87,9.157
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.21,5.25,38.1,193.3,12.7,7.077
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.93,23.25,74.0,226.5,45.3,14.913
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,2.64,16.0,12.3,97.3,4.1,6.006
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.37,9.25,47.4,49.4,15.8,8.103
massive,50,oversize_to_pattern,50,dip_out_of_face,20,70,3.11,27.75,57.4,172.5,34.5,10.935
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,2.34,8.5,46.9,31.6,15.63,6.848
blocky_jointed,40,0.1m_to_oversize,20,dip_out_of_face,20,40,2.65,16.25,37.0,222.3,12.33,6.515
blocky_jointed,50,0.1m_to_oversize,20,strike_perpendicular,30,50,3.03,25.75,47.6,192.3,15.87,8.497
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.85,21.25,72.5,169.9,33.98,6.314
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,3.04,26.0,59.7,74.9,14.98,4.859
blocky_jointed,70,oversize_to_pattern,50,dip_out_of_face,20,70,2.76,19.0,27.4,180.9,9.13,10.088
blocky_jointed,50,<0.1m,10,dip_into_face,40,50,2.81,20.25,69.8,46.3,9.26,7.771
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.78,19.5,84.3,152.4,30.48,5.999
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.4,10.0,57.4,211.0,42.2,10.332
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.97,24.25,78.0,158.1,31.62,6.952
powdery_friable,10,oversize_to_pattern,50,dip_out_of_face,20,70,2.55,13.75,44.3,105.2,14.77,6.511
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.21,5.25,43.6,132.7,14.53,8.987
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,3.09,27.25,46.8,55.2,15.6,9.771
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,3.17,29.25,31.6,205.9,10.53,8.387
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.64,16.0,68.5,81.7,16.34,7.94
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,3.08,27.0,29.5,126.9,9.83,5.21
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.54,13.5,49.5,94.8,16.5,9.6
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,3.0,25.0,37.2,222.5,12.4,7.044
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.21,5.25,85.8,39.7,7.94,7.391
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.76,19.0,29.2,129.5,9.73,7.724
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.99,24.75,17.4,71.0,5.8,7.833
massive,50,<0.1m,10,strike_perpendicular,30,40,2.86,21.5,39.5,147.3,13.17,7.48
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.75,18.75,38.1,124.4,12.7,9.087
blocky_jointed,40,0.1m_to_oversize,20,dip_out_of_face,20,40,2.32,8.0,25.4,47.5,8.47,5.788
massive,50,oversize_to_pattern,50,dip_out_of_face,20,70,2.39,9.75,69.1,83.6,16.72,8.788
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.48,12.0,18.0,64.6,6.0,9.48
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.5,12.5,66.6,49.1,9.82,4.339
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.49,12.25,85.5,166.7,33.34,6.335
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.77,19.25,47.6,121.3,15.87,5.707
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,3.14,28.5,48.2,209.1,16.07,5.674
blocky_jointed,40,0.1m_to_oversize,20,dip_out_of_face,20,40,2.78,19.5,64.9,54.9,10.98,6.629
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,3.19,29.75,19.5,195.8,6.5,7.575
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.43,10.75,51.8,123.6,24.72,10.528
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,3.19,29.75,34.4,162.8,11.47,9.673
massive,50,oversize_to_pattern,50,dip_out_of_face,20,70,3.15,28.75,26.6,68.5,8.87,9.457
massive,50,<0.1m,10,dip_out_of_face,20,30,2.44,11.0,54.2,56.0,11.2,6.132
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.79,19.75,33.3,73.2,11.1,9.051
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,3.06,26.5,15.7,73.7,5.23,8.504
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.86,21.5,84.7,117.8,23.56,13.504
massive,50,<0.1m,10,dip_into_face,40,50,2.35,8.75,31.3,52.7,10.43,7.151
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.8,20.0,75.9,231.9,46.38,6.983
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,2.89,22.25,66.0,236.8,47.36,8.977
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.64,16.0,57.8,224.6,44.92,11.455
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.45,11.25,17.3,241.2,5.77,7.621
massive,50,oversize_to_pattern,50,dip_out_of_face,20,70,3.2,30.0,63.8,82.0,16.4,9.984
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.72,18.0,45.4,84.0,15.13,4.988
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,3.01,25.25,87.5,128.1,25.62,9.652
blocky_jointed,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.87,21.75,78.6,95.9,19.18,8.456
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.86,21.5,42.0,194.9,14.0,8.13
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.51,12.75,35.9,243.1,11.97,4.483
blocky_jointed,70,oversize_to_pattern,50,dip_out_of_face,20,70,2.86,21.5,53.4,115.0,23.0,11.07
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,2.82,20.5,49.9,121.7,16.63,7.628
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.75,18.75,84.2,120.8,24.16,5.575
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.23,5.75,60.4,203.8,40.76,8.191
massive,50,<0.1m,10,strike_perpendicular,30,40,2.75,18.75,54.2,41.4,8.28,7.022
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.85,21.25,22.3,234.5,7.43,4.721
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.47,11.75,76.8,245.5,49.1,14.451
powdery_friable,10,0.1m_to_oversize,20,dip_into_face,40,60,2.34,8.5,25.2,157.9,8.4,5.214
massive,50,<0.1m,10,dip_out_of_face,20,30,2.48,12.0,73.2,115.4,23.08,6.905
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.48,12.0,33.9,155.0,11.3,6.798
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.65,16.25,48.7,96.5,16.23,7.349
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,3.13,28.25,79.6,245.6,49.12,10.642
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,2.43,10.75,72.0,30.0,6.0,6.405
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,3.11,27.75,40.5,247.3,13.5,9.075
massive,50,<0.1m,10,strike_perpendicular,30,40,3.16,29.0,20.1,242.0,6.7,7.542
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,2.3,7.5,82.8,23.5,4.7,5.532
powdery_friable,10,0.1m_to_oversize,20,dip_into_face,40,60,3.17,29.25,16.0,199.8,5.33,6.275
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.89,22.25,62.0,215.9,43.18,11.126
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,3.15,28.75,60.1,224.1,44.82,12.214
blocky_jointed,70,oversize_to_pattern,50,dip_out_of_face,20,70,2.82,20.5,28.8,177.4,9.6,10.206
blocky_jointed,50,<0.1m,10,dip_into_face,40,50,2.29,7.25,88.3,194.9,38.98,8.774
massive,50,<0.1m,10,strike_perpendicular,30,40,2.37,9.25,34.0,26.7,11.33,6.635
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,2.56,14.0,44.5,76.2,14.83,6.53
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.99,24.75,23.6,38.2,7.87,12.757
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.44,11.0,83.0,52.9,10.58,12.095
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,2.66,16.5,63.3,226.7,45.34,13.31
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.75,18.75,15.9,237.4,5.3,8.643
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,3.16,29.0,65.2,125.1,25.02,9.841
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,3.05,26.25,18.5,107.7,6.17,6.745
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,3.19,29.75,33.6,244.9,11.2,12.057
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.21,5.25,79.2,199.0,39.8,8.703
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,2.7,17.5,82.3,85.8,17.16,8.08
powdery_friable,10,oversize_to_pattern,50,strike_perpendicular,30,80,2.42,10.5,25.2,77.6,8.4,6.534
massive,50,oversize_to_pattern,50,dip_into_face,40,90,3.04,26.0,60.3,227.8,45.56,12.694
massive,50,<0.1m,10,strike_perpendicular,30,40,2.99,24.75,12.7,103.9,4.23,7.139
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.53,13.25,43.2,66.2,14.4,4.659
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.7,17.5,31.8,57.8,10.6,8.286
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,3.07,26.75,74.3,127.7,25.54,10.337
powdery_friable,10,<0.1m,10,dip_out_of_face,20,30,3.06,26.5,67.9,245.4,49.08,6.935
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.99,24.75,11.1,143.4,3.7,7.107
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.95,23.75,31.0,107.6,10.33,9.245
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.87,21.75,47.7,162.5,15.9,7.659
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.42,10.5,15.1,209.5,5.03,7.532
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.61,15.25,21.2,237.6,7.07,7.939
blocky_jointed,40,0.1m_to_oversize,20,dip_out_of_face,20,40,2.3,7.5,81.0,51.2,10.24,5.864
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,3.15,28.75,65.7,144.2,28.84,10.655
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.35,8.75,43.2,42.8,14.4,9.789
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,3.14,28.5,32.4,178.8,10.8,11.958
powdery_friable,10,0.1m_to_oversize,20,strike_perpendicular,30,50,3.15,28.75,78.4,42.9,8.58,5.84
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,3.1,27.5,61.6,33.9,6.78,8.657
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,3.15,28.75,75.9,41.1,8.22,5.818
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,2.8,20.0,11.7,201.0,3.9,7.434
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.41,10.25,76.4,147.5,29.5,5.985
massive,50,<0.1m,10,dip_out_of_face,20,30,2.53,13.25,21.8,227.1,7.27,6.031
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,3.19,29.75,53.2,203.7,40.74,7.229
powdery_friable,10,oversize_to_pattern,50,dip_out_of_face,20,70,2.33,8.25,38.7,201.3,12.9,6.069
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.37,9.25,14.2,190.6,4.73,6.239
massive,50,<0.1m,10,dip_into_face,40,50,2.26,6.5,45.9,103.3,15.3,7.308
massive,50,<0.1m,10,strike_perpendicular,30,40,2.7,17.5,85.6,30.0,6.0,6.81
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.66,16.5,87.1,34.0,6.8,9.198
blocky_jointed,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.89,22.25,49.2,229.2,16.4,8.319
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.81,20.25,15.3,83.3,5.1,4.521
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.91,22.75,40.5,157.4,13.5,10.575
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,2.81,20.25,17.9,181.4,5.97,8.773
massive,50,oversize_to_pattern,50,dip_into_face,40,90,2.92,23.0,27.2,123.9,9.07,10.324
powdery_friable,10,0.1m_to_oversize,20,strike_perpendicular,30,50,3.03,25.75,41.9,187.8,13.97,5.983
blocky_jointed,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.87,21.75,39.9,55.1,13.3,8.103
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,3.03,25.75,17.5,42.2,5.83,5.495
massive,50,0.1m_to_oversize,20,dip_out_of_face,20,40,2.76,19.0,56.9,149.2,29.84,8.33
blocky_jointed,70,oversize_to_pattern,50,dip_out_of_face,20,70,2.61,15.25,79.9,236.5,47.3,12.153
blocky_jointed,70,oversize_to_pattern,50,dip_out_of_face,20,70,3.17,29.25,58.0,100.9,20.18,11.366
massive,50,oversize_to_pattern,50,dip_out_of_face,20,70,2.35,8.75,48.6,214.9,16.2,8.697
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,2.31,7.75,32.3,72.0,10.77,10.711
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.81,20.25,61.4,26.0,5.2,12.327
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.23,5.75,31.9,195.4,10.63,8.783
blocky_jointed,40,0.1m_to_oversize,20,dip_out_of_face,20,40,2.38,9.5,21.5,171.2,7.17,5.8
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.83,20.75,12.5,191.6,4.17,5.095
powdery_friable,10,0.1m_to_oversize,20,strike_perpendicular,30,50,2.65,16.25,22.6,91.7,7.53,5.027
blocky_jointed,90,oversize_to_pattern,50,dip_into_face,40,90,2.28,7.0,14.2,56.2,4.73,11.504
massive,50,<0.1m,10,dip_into_face,40,50,2.28,7.0,45.4,117.5,15.13,7.328
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.47,11.75,70.4,46.2,9.24,7.259
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,2.88,22.0,57.5,141.2,28.24,7.814
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.6,15.0,57.9,21.8,4.36,4.762
blocky_jointed,30,<0.1m,10,dip_out_of_face,20,30,2.96,24.0,33.2,47.6,11.07,5.704
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,2.38,9.5,40.4,181.8,13.47,10.978
massive,50,oversize_to_pattern,50,dip_into_face,40,90,3.01,25.25,15.8,218.2,5.27,10.231
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,2.66,16.5,16.2,92.0,5.4,4.314
blocky_jointed,80,oversize_to_pattern,50,strike_perpendicular,30,80,2.91,22.75,43.4,46.5,14.47,11.833
powdery_friable,10,0.1m_to_oversize,20,dip_out_of_face,20,40,3.0,25.0,59.5,211.4,42.28,7.037
blocky_jointed,40,<0.1m,10,strike_perpendicular,30,40,3.04,26.0,29.5,155.4,9.83,6.95
massive,50,<0.1m,10,strike_perpendicular,30,40,3.07,26.75,69.7,71.0,14.2,7.857
powdery_friable,10,<0.1m,10,dip_into_face,40,50,2.83,20.75,52.4,64.6,12.92,5.62
blocky_jointed,60,0.1m_to_oversize,20,dip_into_face,40,60,3.16,29.0,61.6,54.0,10.8,9.588
powdery_friable,10,<0.1m,10,strike_perpendicular,30,40,2.4,10.0,58.2,194.8,38.96,5.938
massive,50,<0.1m,10,dip_out_of_face,20,30,3.15,28.75,60.2,126.7,25.34,8.045
massive,50,oversize_to_pattern,50,strike_perpendicular,30,80,2.88,22.0,80.6,167.9,33.58,11.135
massive,50,0.1m_to_oversize,20,dip_into_face,40,60,2.52,13.0,45.2,127.9,15.07,8.284
massive,50,0.1m_to_oversize,20,strike_perpendicular,30,50,2.79,19.75,38.2,37.1,12.73,7.949
blocky_jointed,40,0.1m_to_oversize,20,dip_out_of_face,20,40,2.26,6.5,76.5,37.6,7.52,5.641
powdery_friable,10,oversize_to_pattern,50,dip_into_face,40,90,2.71,17.75,47.0,147.5,15.67,8.005
massive,50,<0.1m,10,strike_perpendicular,30,40,3.11,27.75,55.7,63.3,12.66,7.825
